10AL	0.44537	1.64345	0.47056	1.78754	0.39297	1.89233	0.56729	2.01829	0.61062	1.94674	0.69224	1.74824	0.77990	1.53462	1.03181	1.73111	1.02879	1.80769	1.52253	1.82986	1.52858	2.01829	2.09184	1.15978	2.57349	1.42983	2.53722	1.64445	1.75932	2.21478
10AR	0.91493	1.41371	0.99856	1.31193	0.97539	1.17792	1.17691	1.14164	1.18800	1.21319	1.15172	1.41068	1.14467	1.67468	1.46610	1.62027	1.48223	1.52858	1.94171	1.73212	2.02131	1.55175	2.17548	2.59465	2.72061	2.52916	2.77804	2.33468	2.33368	1.46812
10BL	0.68619	1.48726	0.68720	1.61322	0.63783	1.72809	0.81517	1.83691	0.85749	1.78351	0.96632	1.58601	1.01267	1.40665	1.21218	1.61120	1.21822	1.68476	1.65554	1.73413	1.67972	1.91450	2.32662	1.15374	2.72968	1.47517	2.67829	1.66561	1.91954	2.15129
10CL	2.47676	1.20714	2.42436	1.34418	2.46668	1.45300	2.30244	1.52656	2.27020	1.46510	2.20067	1.27163	2.16540	1.05398	1.90946	1.21621	1.89334	1.26659	1.42378	1.23132	1.39255	1.43789	0.91593	0.52497	0.43025	0.73758	0.44940	0.96027	1.11242	1.59508
10CR	0.25694	1.78048	0.25694	1.64345	0.16424	1.56284	0.30934	1.40061	0.35771	1.45401	0.46955	1.61523	0.61767	1.82583	0.80711	1.57392	0.78897	1.50137	1.24342	1.39154	1.19404	1.20815	1.93768	1.90342	2.38204	1.57392	2.23493	1.33310	1.41169	0.95120
10DL	0.71743	1.41774	0.75371	1.29682	0.68519	1.18397	0.84842	1.07917	0.88369	1.13459	0.95422	1.32806	1.01569	1.54369	1.24543	1.36635	1.24745	1.29884	1.66662	1.30186	1.68577	1.12855	2.25810	1.94271	2.69340	1.69584	2.65813	1.48928	1.95481	0.93004
10DR	0.52195	1.33007	0.55822	1.20815	0.49273	1.10638	0.65899	1.00259	0.69325	1.06003	0.75874	1.24644	0.81920	1.46812	1.05398	1.29178	1.06003	1.22528	1.49835	1.24039	1.50439	1.04995	2.01526	1.88528	2.48482	1.66259	2.48381	1.46409	1.76436	0.87563
10EL	0.53404	1.29077	0.51993	1.41270	0.43832	1.49029	0.56528	1.65755	0.60659	1.60516	0.73758	1.45703	0.86152	1.28876	1.00964	1.52656	0.99251	1.59004	1.40061	1.73917	1.35929	1.91954	2.11200	1.32000	2.46165	1.72003	2.35282	1.90342	1.55377	2.19059
10ER	0.74564	0.72348	0.82424	0.61364	0.80106	0.51893	0.99655	0.45746	1.00662	0.52396	1.01569	0.74464	0.98143	0.92400	1.25551	0.83935	1.26861	0.79200	1.69282	0.96329	1.78250	0.79401	1.95279	1.75529	2.47777	1.68274	2.53117	1.46812	2.10998	0.70735
10FL	0.62171	1.69685	0.64589	1.55074	0.57737	1.45300	0.73456	1.31193	0.76277	1.39859	0.87261	1.58500	0.94818	1.79358	1.20311	1.59004	1.19303	1.51749	1.61221	1.47618	1.61423	1.30387	2.29438	2.09487	2.67627	1.78754	2.64907	1.58198	1.88629	1.07212
10FR	2.07874	1.96085	2.07270	1.82079	2.17850	1.74623	2.05557	1.56888	1.99511	1.60818	1.87823	1.77041	1.70693	1.94674	1.56989	1.69685	1.56485	1.61826	1.13761	1.43487	1.21218	1.25954	0.34461	1.84094	0.05844	1.41874	0.16424	1.23737	1.03282	0.97539
10GL	2.29539	1.10235	2.31554	1.23939	2.37902	1.30488	2.30143	1.46610	2.24903	1.42681	2.12409	1.27062	1.97093	1.09731	1.88226	1.34619	1.88326	1.40363	1.46711	1.56787	1.52656	1.74925	0.74363	1.18699	0.39297	1.60213	0.48769	1.77242	1.34519	2.02131
10GR	0.59047	1.81474	0.62574	1.70894	0.51590	1.62229	0.63682	1.47215	0.68720	1.51245	0.79200	1.67065	0.92903	1.84195	1.06506	1.60919	1.05499	1.55175	1.48525	1.41371	1.41471	1.24845	2.21578	1.80366	2.55233	1.43285	2.44855	1.24845	1.63438	0.98143
10HL	0.33957	1.03685	0.37685	0.91593	0.35166	0.82222	0.48164	0.69325	0.50784	0.77386	0.61364	0.96732	0.68418	1.20513	0.91090	1.02980	0.87059	0.94616	1.34619	0.96531	1.39154	0.77688	1.91954	1.66864	2.40522	1.45099	2.39917	1.24644	1.67166	0.60357
10HR	0.51792	1.44494	0.58241	1.34116	0.54412	1.23032	0.70232	1.12653	0.73456	1.18800	0.80207	1.40363	0.82626	1.61423	1.09026	1.45502	1.07816	1.38146	1.53261	1.42479	1.60012	1.22326	2.03038	2.13013	2.55233	1.93868	2.55435	1.74522	1.89536	1.05700
11AL	2.15432	1.60919	2.13920	1.48525	2.23694	1.41975	2.10595	1.27364	2.05154	1.32201	1.93868	1.48827	1.80165	1.69685	1.62632	1.43184	1.64143	1.35526	1.17389	1.23132	1.21822	1.02476	0.43832	1.72003	0.05138	1.34216	0.12091	1.15071	1.00964	0.74363
11AR	0.48769	1.36735	0.52094	1.50641	0.44738	1.57997	0.61364	1.71700	0.65596	1.66058	0.77084	1.47013	0.82928	1.23838	1.03786	1.46913	1.03786	1.52455	1.52152	1.57291	1.54571	1.77545	2.15835	0.97841	2.59768	1.27667	2.55133	1.45300	1.77645	2.02433
11BL	0.22772	1.00360	0.20656	1.13056	0.15517	1.22024	0.25493	1.37945	0.30329	1.32806	0.44940	1.14769	0.55621	0.98848	0.73557	1.21722	0.73355	1.26558	1.14265	1.40161	1.13157	1.59306	1.88629	0.96329	2.26012	1.33209	2.18757	1.52757	1.34216	1.86412
11BR	2.28229	1.44192	2.23493	1.57090	2.30244	1.67368	2.15129	1.80265	2.11200	1.74925	2.04751	1.56687	1.93465	1.33713	1.75227	1.54168	1.75026	1.61120	1.23535	1.63841	1.22427	1.83490	0.65798	1.05197	0.20858	1.34821	0.23880	1.56183	0.98546	2.03642
11CL	0.53706	0.96833	0.51792	1.11142	0.39499	1.16281	0.47358	1.37038	0.52800	1.31395	0.72045	1.17792	0.90183	1.01468	1.00763	1.29581	0.97740	1.36030	1.37340	1.57594	1.29380	1.76739	2.25508	1.30186	2.49792	1.73716	2.38003	1.90644	1.47819	2.08479
11CR	0.82525	1.39557	0.83432	1.54168	0.73456	1.61120	0.85145	1.77545	0.88772	1.72809	1.04189	1.59004	1.17288	1.41270	1.33209	1.69786	1.27163	1.74522	1.68476	1.93566	1.63841	2.11099	2.36894	1.56183	2.71456	2.00418	2.62488	2.17346	1.76537	2.36592
11DL	2.36391	1.27062	2.37297	1.42983	2.46366	1.51044	2.35987	1.68677	2.27725	1.63337	2.17951	1.47114	2.00922	1.27566	1.84094	1.52455	1.86613	1.59407	1.43890	1.75630	1.49935	1.93365	0.69123	1.34216	0.36375	1.73816	0.44335	1.92357	1.30186	2.22485
11DR	0.48467	0.91190	0.42824	1.01670	0.31841	1.07615	0.40406	1.25954	0.46451	1.22729	0.62775	1.07615	0.79099	0.93004	0.91291	1.19706	0.87563	1.26155	1.23939	1.48424	1.15877	1.65352	2.06464	1.19908	2.38305	1.67065	2.25407	1.86009	1.32403	1.98000
11EL	0.62070	1.48726	0.66604	1.60919	0.61062	1.71096	0.73557	1.81777	0.79502	1.76336	0.88369	1.58702	0.92601	1.37844	1.17288	1.57493	1.16482	1.64143	1.59407	1.65957	1.64949	1.86311	2.27624	0.99655	2.70650	1.29380	2.70348	1.54369	1.91349	2.06061
11ER	2.15936	1.16381	2.07270	1.25551	2.09789	1.34720	1.93163	1.42177	1.91450	1.34720	1.89939	1.15676	1.91148	0.94012	1.63539	1.05600	1.61523	1.12552	1.19203	0.98143	1.16482	1.16784	0.92500	0.25190	0.38290	0.34561	0.34461	0.53303	0.83432	1.26861
