10AR	979.8583	708.55975	937.129	839.7322	801.9673	881.4765	869.54815	1080.2298	933.1496	1055.3881	1129.9132	938.114	1310.7789	814.8905	1356.49275	1094.138	1335.63045	1133.8926	1677.48455	1430.03285	1574.13835	1589.0414	2463.5638	1258.11095	2687.1588	1721.2087	2569.89455	1848.4116	1687.4232	1907.04865
3FL	1294.881	809.91625	1160.724	897.3744	1015.6335	881.4765	943.08825	1108.05605	1064.3319	1083.2045	1307.8042	1079.23495	1517.491	1055.3881	1452.8947	1319.7227	1343.5794	1356.49275	1506.5575	1761.95815	1313.76345	1875.243	2432.753	2047.17475	2368.1567	2550.01725	2160.4596	2615.6084	1326.68665	2268.78005
1HR	2472.5076	1032.52625	2445.6762	1143.83125	2452.6303	1270.0393	2293.62175	1384.319	2287.6625	1309.7939	2230.0203	1112.0256	2125.67925	886.4409	1895.1203	1044.4546	1884.1868	1151.7802	1439.9715	1145.82095	1416.12465	1327.6815	906.3182	499.8678	410.41995	723.4628	436.26635	934.14445	1129.9132	1519.4807
3DR	2277.72385	1178.6116	2223.0662	1356.49275	2312.5042	1459.8488	2150.52095	1582.0873	2110.7762	1529.4095	2012.38455	1332.6459	1930.8955	1140.8467	1753.01435	1335.63045	1765.9277	1375.3752	1324.69695	1394.25765	1322.70725	1574.13835	720.47825	812.9008	260.36505	1083.2045	330.9206	1299.85525	1007.68455	1800.7179
10CL	609.1831	1386.3087	667.8103	1255.13625	593.27535	1129.9132	780.11015	1022.5876	812.9008	1085.1942	876.50225	1299.85525	889.42545	1500.59825	1177.61675	1358.48245	1186.56055	1255.13625	1615.8728	1314.7583	1647.6686	1121.96425	2146.5514	2023.31805	2612.62385	1760.9633	2608.6543	1548.29195	1987.54285	933.1496
2BR	628.0557	1280.9728	603.214	1400.22675	521.72495	1498.60855	654.89695	1639.71965	700.6108	1592.02595	823.8343	1408.1757	894.38985	1228.30485	1030.53655	1426.0633	1050.41385	1502.5781	1437.9818	1597.9852	1411.1504	1777.85605	2107.79165	1087.1839	2537.1039	1429.038	2496.35445	1598.98005	1678.4794	2017.3588
7ER	2322.44285	1130.90805	2254.87185	1262.09035	2319.46815	1395.2525	2128.6638	1459.8488	2100.83755	1394.25765	2086.9195	1205.443	2063.07265	998.74075	1792.7591	1131.9029	1756.9839	1172.65235	1317.74285	1081.22465	1274.00885	1271.03415	894.38985	334.9	342.84895	473.0364	352.7876	707.5649	890.4203	1424.0736
9DL	2034.25155	1328.6665	1981.5836	1490.6596	2003.44075	1585.062	1834.5034	1681.46395	1822.57505	1616.86765	1793.75395	1388.2984	1785.805	1175.62705	1555.2559	1282.9625	1517.491	1380.34945	1043.45975	1230.2847	994.76135	1407.18085	628.0557	462.1029	173.90175	592.2805	105.3359	797.99775	667.8103	1504.5678
4CR	1071.286	493.8987	1189.5451	425.33285	1201.4636	337.8747	1407.18085	337.8747	1397.2422	378.62415	1325.6918	593.27535	1241.2182	793.0235	1518.48585	814.8905	1566.17955	759.238	1903.06925	1022.5876	2035.2464	891.41515	1919.97185	1880.21725	2434.7427	1968.6604	2495.3596	1774.8715	2416.8551	935.1393
1DR	1341.5897	626.07585	1254.1414	716.5087	1112.0256	678.7438	1060.3525	883.45635	1129.9132	897.3744	1367.42625	903.33365	1595.00065	895.3847	1509.54205	1183.576	1436.9968	1209.4224	1571.1538	1620.8372	1392.2778	1700.3464	2411.88085	1930.8955	2375.1108	2478.46685	2131.6385	2490.3952	1296.8707	2044.1902
