9HL	2.42114	2.61739	2.26170	2.65786	2.22735	2.80504	2.02130	2.71305	2.06300	2.63701	2.15499	2.45549	2.30217	2.23103	1.97101	2.15376	1.91091	2.20528	1.55399	1.77109	1.37124	1.89619	1.71589	0.78619	1.14679	0.52617	0.97753	0.68071	0.98244	1.76741
7GL	2.47266	1.51352	2.34878	1.39700	2.35982	1.27435	2.14763	1.21548	2.15376	1.31850	2.17461	1.56013	2.23349	1.81402	1.88270	1.75146	1.84223	1.65947	1.35407	1.92318	1.22897	1.71467	1.15783	2.87250	0.47711	2.87250	0.42805	2.62107	0.84629	1.67542
10AR	1.93422	2.77806	1.75269	2.76825	1.64353	2.90194	1.44238	2.73513	1.52088	2.67013	1.74656	2.53030	1.99677	2.37454	1.68646	2.14518	1.58956	2.15376	1.41417	1.57239	1.17745	1.60428	2.11574	0.66845	1.67051	0.20728	1.43012	0.27964	0.89045	1.36143
3FL	2.69711	2.76212	2.54625	2.83571	2.50209	2.97553	2.24207	2.93996	2.27641	2.84429	2.39539	2.61003	2.54625	2.35982	2.15622	2.26170	2.07159	2.32425	1.67297	1.85572	1.43380	2.00781	1.81034	0.71383	1.18604	0.50777	0.98612	0.69175	1.05971	1.92195
11GR	1.87044	2.58550	1.70240	2.58427	1.59079	2.72532	1.38473	2.56342	1.44483	2.50700	1.83119	2.46898	2.09857	2.31076	1.77109	2.11083	1.66438	2.15131	1.53069	1.62881	1.26331	1.64108	2.08630	0.65128	1.65212	0.22077	1.42276	0.31889	0.94564	1.35530
6AL	0.64514	0.99593	0.82054	0.94564	0.82790	0.79478	1.07075	0.80459	1.05971	0.88186	0.95177	1.13207	0.84261	1.36143	1.21180	1.40068	1.27557	1.34917	1.68768	1.68891	1.87534	1.51720	1.67665	2.74372	2.29113	2.89949	2.43463	2.70202	2.24698	1.58220
6CR	2.82467	2.15376	2.70079	2.27641	2.71551	2.43341	2.46530	2.47020	2.46775	2.37699	2.48860	2.11942	2.54747	1.82751	2.19178	1.90846	2.14395	1.99186	1.59938	1.71344	1.46078	1.93667	1.36879	0.67581	0.65496	0.69788	0.58504	0.95177	1.06461	1.99554
11EL	0.77025	2.43218	0.92479	2.51804	0.97140	2.65909	1.20444	2.65786	1.19217	2.56833	1.10018	2.31812	0.99348	2.08140	1.39700	2.03970	1.46201	2.10715	1.92931	1.81524	2.08508	1.94035	1.90110	0.67703	2.54870	0.54212	2.70079	0.78865	2.47879	1.89497
3DR	1.63372	0.65864	1.76250	0.77025	1.89987	0.72855	2.01762	0.94196	1.91827	0.97385	1.66070	0.98489	1.37983	0.98366	1.52946	1.32464	1.62759	1.34794	1.46201	1.91459	1.68155	1.99799	0.44032	2.42114	0.58504	3.03686	0.85243	3.07856	1.81524	2.42114
10CL	3.08224	2.62229	3.05280	2.44813	3.14111	2.35736	3.00865	2.17707	2.93873	2.24452	2.77683	2.43954	2.66154	2.66031	2.46039	2.36840	2.48492	2.28868	1.93422	2.14763	1.96733	1.90968	1.09650	2.73268	0.62552	2.30585	0.72977	2.05564	1.71344	1.61041
