9hl	0.39083	1.65042	0.39286	1.51271	0.34932	1.42361	0.42829	1.23528	0.48297	1.28084	0.63485	1.46209	0.75939	1.63826	0.93658	1.42766	0.88089	1.33248	1.30211	1.20794	1.25553	1.02265	2.07163	1.67573	2.42601	1.28793	2.32881	1.08542	1.49145	0.78065
7gl	2.11820	1.18567	2.04631	1.31628	2.10808	1.37906	1.93190	1.49752	1.89342	1.43677	1.82255	1.23325	1.79521	1.02670	1.52992	1.19275	1.50765	1.26768	1.03885	1.25654	1.02569	1.45196	0.44854	0.57612	0.05163	0.83027	0.03442	1.02467	0.75028	1.70914
3fl	2.74698	1.25958	2.64067	1.38716	2.71661	1.47626	2.54245	1.59371	2.53638	1.53195	2.42196	1.35071	2.39766	1.13808	2.15972	1.30919	2.11213	1.42563	1.64637	1.38615	1.63320	1.58156	1.06517	0.69459	0.65915	0.91228	0.66016	1.15023	1.35779	1.78306
11gr	0.14377	1.01657	0.15592	1.16744	0.05771	1.26869	0.16504	1.44892	0.22478	1.38210	0.36653	1.20490	0.52246	1.04999	0.63080	1.31628	0.60346	1.40943	1.07125	1.54714	1.02366	1.73648	1.84887	1.13301	2.18098	1.54916	2.10099	1.76382	1.26059	2.03720
6al	2.25591	1.09454	2.21136	1.21908	2.32375	1.30919	2.18807	1.47322	2.13744	1.42665	2.00885	1.24945	1.90962	1.06720	1.78204	1.31122	1.82862	1.37197	1.36995	1.49449	1.40741	1.68484	0.63485	1.05302	0.22883	1.38108	0.31388	1.59473	1.15731	1.92481
1hr	0.49006	1.16339	0.53056	1.03581	0.48297	0.91026	0.65915	0.81103	0.69661	0.86976	0.75534	1.08441	0.81812	1.29806	1.01252	1.13706	0.97911	1.04391	1.48436	1.07226	1.49955	0.89001	2.06758	1.75167	2.49790	1.51069	2.48474	1.30413	1.84988	0.71079
6cr	0.54980	1.78711	0.56701	1.65143	0.46171	1.55524	0.60549	1.40741	0.65308	1.45601	0.78470	1.61396	0.89709	1.83976	1.04796	1.60283	1.03885	1.50664	1.51575	1.42563	1.48942	1.23933	2.21439	1.94101	2.57080	1.60384	2.51309	1.38918	1.68585	1.00138
3dr	2.22654	1.69699	2.22553	1.56840	2.35412	1.49044	2.24072	1.32944	2.18098	1.36995	2.00885	1.53296	1.85393	1.69800	1.70307	1.46209	1.77091	1.38210	1.32742	1.18972	1.39526	1.01455	0.50727	1.58764	0.12251	1.14618	0.24401	0.96190	1.19883	0.77660
2br	0.34729	1.51170	0.35640	1.65345	0.25515	1.73344	0.39893	1.91874	0.44753	1.86912	0.57815	1.67573	0.69155	1.49347	0.86571	1.75471	0.85356	1.80229	1.28591	1.92177	1.26262	2.11517	2.00176	1.40235	2.41285	1.74964	2.33286	1.95114	1.53600	2.33792
9dl	2.04429	1.56638	2.03011	1.43778	2.16275	1.37805	2.07365	1.18465	2.01189	1.21705	1.85495	1.34868	1.68687	1.53296	1.56941	1.24237	1.60181	1.17048	1.20592	0.94468	1.29299	0.76952	0.36856	1.22110	0.13466	0.71990	0.28047	0.56904	1.13909	0.43133
1dr	2.44019	1.57448	2.47968	1.47626	2.52524	1.41247	2.49385	1.21705	2.45132	1.27375	2.27920	1.41551	2.12225	1.55828	2.00480	1.28793	2.01796	1.21402	1.58156	0.98012	1.63523	0.77458	0.77964	1.26262	0.50423	0.77964	0.64194	0.61764	1.54916	0.48500
